Altmetric Attention Score,Publication Date,Number of Dimensions citations
4,5/4/2017,14
5,5/4/2017,15
5,5/5/2017,4
4,5/8/2017,9
4,5/8/2017,55
37,5/8/2017,39
52,5/8/2017,16
67,5/8/2017,26
7,5/12/2017,25
3,5/13/2017,12
10,5/16/2017,22
42,5/17/2017,22
2,5/21/2017,8
9,5/22/2017,20
11,5/22/2017,11
12,5/22/2017,11
71,5/22/2017,32
15,5/23/2017,60
29,5/23/2017,10
1,5/24/2017,16
3,5/24/2017,13
14,5/24/2017,19
44,5/25/2017,20
58,5/31/2017,22
6,6/5/2017,38
5,6/8/2017,6
16,6/12/2017,45
1,6/15/2017,1
4,6/16/2017,41
4,6/16/2017,14
257,6/16/2017,12
1,6/19/2017,20
42,6/19/2017,33
82,6/19/2017,110
2,6/20/2017,0
4,6/21/2017,7
17,6/21/2017,29
23,6/21/2017,176
8,6/22/2017,15
9,6/22/2017,12
2,6/23/2017,19
6,6/23/2017,9
32,6/23/2017,8
1,6/26/2017,7
2,6/26/2017,2
6,6/26/2017,20
16,6/26/2017,54
3,6/28/2017,3
10,6/28/2017,23
2,6/30/2017,13
2,6/30/2017,9
24,6/30/2017,12
5,7/3/2017,7
10,7/3/2017,10
1,7/4/2017,19
1,7/4/2017,0
3,7/4/2017,20
5,7/4/2017,4
1,7/5/2017,1
74,7/5/2017,7
7,7/6/2017,5
10,7/7/2017,10
15,7/7/2017,9
28,7/7/2017,25
25,7/12/2017,33
28,7/13/2017,9
2,7/14/2017,13
9,7/14/2017,25
4,7/18/2017,4
8,7/19/2017,14
23,7/20/2017,18
20,7/21/2017,12
1,7/25/2017,15
87,7/25/2017,27
20,7/26/2017,21
10,7/27/2017,8
36,7/27/2017,10
14,7/31/2017,11
2,8/2/2017,17
32,8/2/2017,223
60,8/3/2017,24
1,8/4/2017,1
74,8/4/2017,11
15,8/7/2017,11
62,8/7/2017,10
241,8/7/2017,82
4,8/8/2017,4
1,8/9/2017,8
10,8/10/2017,13
1,8/11/2017,32
7,8/16/2017,5
3,8/18/2017,0
1,8/21/2017,26
1,8/22/2017,0
76,8/23/2017,13
7,8/29/2017,20
12,9/1/2017,10
1,9/4/2017,0
2,9/4/2017,42
3,9/4/2017,5
13,9/5/2017,2
25,9/5/2017,44
72,9/5/2017,58
3,9/7/2017,14
6,9/11/2017,6
80,9/11/2017,16
80,9/11/2017,42
3,9/12/2017,26
11,9/12/2017,19
18,9/12/2017,21
33,9/14/2017,36
2,9/18/2017,30
17,9/18/2017,6
14,9/25/2017,13
11,10/3/2017,8
9,10/7/2017,8
42,10/7/2017,33
1,10/9/2017,10
2,10/9/2017,5
12,10/10/2017,12
61,10/10/2017,29
30,10/11/2017,41
12,10/16/2017,8
1,10/17/2017,7
13,10/25/2017,11
13,10/31/2017,22
134,10/31/2017,46
18,11/1/2017,34
54,11/1/2017,8
33,11/2/2017,17
3,11/3/2017,7
4,11/3/2017,13
5,11/3/2017,18
22,11/3/2017,20
41,11/3/2017,25
49,11/3/2017,48
7,11/6/2017,16
13,11/8/2017,15
8,11/10/2017,45
18,11/10/2017,45
35,11/10/2017,87
76,11/10/2017,88
2,11/13/2017,3
23,11/13/2017,25
25,11/14/2017,3
16,11/16/2017,10
4,11/17/2017,5
5,11/20/2017,8
3,11/21/2017,1
5,11/21/2017,17
5,11/21/2017,13
318,11/21/2017,44
5,11/24/2017,3
6,11/24/2017,13
10,11/27/2017,23
20,11/27/2017,17
96,11/28/2017,65
7,11/29/2017,2
15,11/29/2017,34
15,12/1/2017,61
21,12/1/2017,12
36,12/1/2017,22
161,12/1/2017,73
3,12/4/2017,2
14,12/6/2017,9
30,12/6/2017,105
5,12/7/2017,17
8,12/13/2017,5
9,12/13/2017,16
13,12/15/2017,5
3,12/18/2017,17
24,12/20/2017,63
3,12/22/2017,16
3,12/22/2017,7
44,12/25/2017,16
3,12/29/2017,1
5,12/30/2017,0
1,1/1/2018,0
1,1/1/2018,0
33,1/4/2018,11
40,1/4/2018,22
5,1/8/2018,31
8,1/9/2018,14
469,1/9/2018,29
1,1/10/2018,55
4,1/10/2018,37
6,1/10/2018,21
12,1/11/2018,36
3,1/15/2018,19
31,1/15/2018,23
37,1/15/2018,14
21,1/16/2018,6
1,1/18/2018,12
1,1/18/2018,0
30,1/18/2018,33
41,1/18/2018,17
10,1/19/2018,3
21,1/19/2018,9
45,1/19/2018,9
36,1/23/2018,70
3,1/24/2018,11
7,1/25/2018,20
6,1/29/2018,19
20,1/30/2018,12
5,1/31/2018,11
10,2/1/2018,0
80,2/1/2018,28
7,2/2/2018,52
18,2/2/2018,20
7,2/4/2018,5
4,2/5/2018,18
5,2/5/2018,33
18,2/6/2018,27
5,2/8/2018,24
3,2/10/2018,8
5,2/12/2018,16
5,2/15/2018,18
20,2/15/2018,7
4,2/21/2018,12
1,2/22/2018,6
7,2/22/2018,13
4,2/23/2018,13
16,2/23/2018,24
34,2/23/2018,6
22,2/24/2018,31
3,2/27/2018,4
4,3/1/2018,37
6,3/1/2018,9
7,3/2/2018,14
10,3/6/2018,11
15,3/6/2018,12
20,3/7/2018,26
1,3/8/2018,18
12,3/8/2018,3
4,3/9/2018,15
15,3/9/2018,16
34,3/9/2018,13
66,3/9/2018,7
139,3/9/2018,41
10,3/11/2018,3
8,3/13/2018,37
1,3/15/2018,51
3,3/20/2018,7
7,3/21/2018,9
12,3/22/2018,17
11,3/23/2018,4
1,3/26/2018,22
1,3/26/2018,31
5,3/27/2018,9
24,3/28/2018,15
10,3/29/2018,24
34,3/29/2018,19
7,3/30/2018,7
10,4/2/2018,14
24,4/2/2018,48
12,4/3/2018,52
3,4/4/2018,39
5,4/5/2018,35
35,4/5/2018,17
36,4/6/2018,30
53,4/9/2018,20
2,4/11/2018,22
3,4/11/2018,2
8,4/11/2018,35
2,4/12/2018,2
20,4/16/2018,10
265,4/16/2018,44
12,4/18/2018,26
294,4/18/2018,38
6,4/19/2018,11
25,4/20/2018,41
12,4/24/2018,6
23,4/24/2018,13
2,4/25/2018,9
13,4/26/2018,44
19,4/26/2018,21
37,4/26/2018,62
2,4/27/2018,2
12,4/27/2018,14
2,4/30/2018,7
2,4/30/2018,37
8,4/30/2018,5
9,4/30/2018,16
5,5/1/2018,8
8,5/1/2018,0
29,5/3/2018,23
4,5/8/2018,8
15,5/8/2018,14
16,5/8/2018,8
9,5/9/2018,7
20,5/9/2018,38
1,5/10/2018,18
2,5/10/2018,12
2,5/10/2018,27
5,5/10/2018,11
1,5/15/2018,1
2,5/15/2018,16
4,5/18/2018,7
4,5/22/2018,15
28,5/22/2018,5
11,5/23/2018,25
26,5/23/2018,4
30,5/23/2018,36
3,5/28/2018,5
7,5/28/2018,1
16,5/28/2018,5
5,5/30/2018,20
53,5/30/2018,28
6,5/31/2018,5
15,5/31/2018,44
2,6/4/2018,22
4,6/4/2018,9
2,6/8/2018,15
2,6/11/2018,9
16,6/11/2018,12
23,6/11/2018,9
24,6/11/2018,50
3,6/12/2018,4
39,6/12/2018,25
2,6/13/2018,11
1,6/18/2018,7
3,6/18/2018,7
6,6/18/2018,10
7,6/18/2018,52
10,6/18/2018,24
12,6/18/2018,13
20,6/18/2018,13
52,6/18/2018,63
27,6/19/2018,47
6,6/20/2018,7
6,6/22/2018,4
55,6/22/2018,14
3,6/26/2018,9
1,6/27/2018,10
23,6/27/2018,28
12,6/29/2018,21
72,7/2/2018,22
21,7/3/2018,17
12,7/4/2018,13
13,7/5/2018,8
11,7/7/2018,19
10,7/12/2018,22
11,7/14/2018,10
22,7/18/2018,3
11,7/19/2018,7
35,7/19/2018,51
27,7/23/2018,15
1,7/30/2018,18
6,7/30/2018,11
7,7/30/2018,23
15,7/30/2018,9
25,7/30/2018,18
1,8/1/2018,36
4,8/1/2018,9
6,8/1/2018,36
6,8/1/2018,14
14,8/1/2018,18
11,8/2/2018,9
16,8/2/2018,30
1,8/3/2018,5
1,8/3/2018,9
2,8/3/2018,4
2,8/7/2018,7
4,8/7/2018,9
21,8/7/2018,6
32,8/7/2018,36
1,8/10/2018,9
15,8/14/2018,32
1,8/16/2018,15
1,8/20/2018,1
22,8/22/2018,29
1,8/24/2018,10
7,9/3/2018,15
4,9/6/2018,12
25,9/12/2018,14
1,9/21/2018,14
7,9/22/2018,36
24,9/22/2018,24
3,10/4/2018,1
2,10/5/2018,3
1,10/11/2018,14
1,10/11/2018,10
1,10/11/2018,17
7,10/11/2018,16
26,10/11/2018,37
34,10/11/2018,161
34,10/11/2018,34
111,10/11/2018,21
2,10/12/2018,12
1,10/13/2018,8
2,10/13/2018,8
3,10/13/2018,23
4,10/13/2018,5
6,10/13/2018,9
8,10/13/2018,7
9,10/13/2018,5
13,10/13/2018,12
31,10/13/2018,33
45,10/13/2018,12
1,10/16/2018,28
3,10/16/2018,15
6,10/16/2018,17
8,10/16/2018,12
9,10/16/2018,20
14,10/16/2018,13
16,10/16/2018,16
2,10/17/2018,22
4,10/17/2018,38
10,10/17/2018,25
10,10/17/2018,15
5,10/25/2018,8
11,10/25/2018,24
103,10/27/2018,25
7,10/29/2018,28
13,10/29/2018,30
21,10/29/2018,95
32,10/29/2018,9
9,10/31/2018,4
56,10/31/2018,38
28,11/2/2018,31
3,11/4/2018,9
5,11/4/2018,13
23,11/4/2018,6
2,11/13/2018,23
2,11/13/2018,0
7,11/14/2018,64
8,11/14/2018,15
17,11/14/2018,74
17,11/14/2018,47
2,11/15/2018,13
4,11/15/2018,12
19,11/15/2018,16
4,11/16/2018,2
3,11/17/2018,1
2,11/19/2018,12
8,11/19/2018,9
27,11/20/2018,3
14,11/21/2018,6
3,11/23/2018,16
29,11/24/2018,19
18,11/27/2018,18
4,11/30/2018,8
2,12/5/2018,16
7,12/11/2018,14
18,12/11/2018,12
1,12/13/2018,27
1,12/13/2018,8
2,12/13/2018,2
